PID,field_abstract,field_alt_title,field_classification,field_copyright_date,field_date_captured,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_is_preceded_by,field_is_succeeded_by,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title
lsu-ag-agexp:1000,,,,,,,,,,,lsu-ag-agexp:914-44,,,,,,,,,,,,,,lsu-ag-agexp:1000,,,,,,,,lsu-ag-agexp:914-44
lsu-ag-agexp:1001,,,,,,,,,,,lsu-ag-agexp:914-81,,,,,,,,,,,,,,lsu-ag-agexp:1001,,,,,,,,lsu-ag-agexp:914-81
lsu-ag-agexp:1002,,,,,,,,,1990,,"Sugarcane Research Annual Progress Report, 1990",,,,,,,,"relators:aut:person:|relators:ctb:corporate_body:|relators:pbl:corporate_body:Louisiana Agricultural Experiment Station, Louisiana State University Agriculturual Center",,,host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,,,lsu-ag-agexp:1002,,,Text,use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Sugarcane -- Louisiana,,,"Sugarcane Research Annual Progress Report, 1990"
lsu-ag-agexp:1003,,,,,,,,,,,lsu-ag-agexp:1002-50,,,,,,,,,,,,,,lsu-ag-agexp:1003,,,,,,,,lsu-ag-agexp:1002-50
lsu-ag-agexp:1004,,,,,,,,,,,lsu-ag-agexp:1002-29,,,,,,,,,,,,,,lsu-ag-agexp:1004,,,,,,,,lsu-ag-agexp:1002-29
lsu-ag-agexp:1005,,,,,,,,,,,lsu-ag-agexp:1002-33,,,,,,,,,,,,,,lsu-ag-agexp:1005,,,,,,,,lsu-ag-agexp:1002-33
lsu-ag-agexp:1006,,,,,,,,,,,lsu-ag-agexp:1002-32,,,,,,,,,,,,,,lsu-ag-agexp:1006,,,,,,,,lsu-ag-agexp:1002-32
lsu-ag-agexp:1007,,,,,,,,,,,lsu-ag-agexp:1002-247,,,,,,,,,,,,,,lsu-ag-agexp:1007,,,,,,,,lsu-ag-agexp:1002-247
lsu-ag-agexp:1008,,,,,,,,,,,lsu-ag-agexp:1002-161,,,,,,,,,,,,,,lsu-ag-agexp:1008,,,,,,,,lsu-ag-agexp:1002-161
lsu-ag-agexp:1009,,,,,,,,,,,lsu-ag-agexp:1002-124,,,,,,,,,,,,,,lsu-ag-agexp:1009,,,,,,,,lsu-ag-agexp:1002-124
lsu-ag-agexp:100,,,,,,,,,,,lsu-ag-agexp:42-51,,,,,,,,,,,,,,lsu-ag-agexp:100,,,,,,,,lsu-ag-agexp:42-51
lsu-ag-agexp:1010,,,,,,,,,,,lsu-ag-agexp:1002-265,,,,,,,,,,,,,,lsu-ag-agexp:1010,,,,,,,,lsu-ag-agexp:1002-265
lsu-ag-agexp:1011,,,,,,,,,,,lsu-ag-agexp:1002-101,,,,,,,,,,,,,,lsu-ag-agexp:1011,,,,,,,,lsu-ag-agexp:1002-101
lsu-ag-agexp:1012,,,,,,,,,,,lsu-ag-agexp:1002-180,,,,,,,,,,,,,,lsu-ag-agexp:1012,,,,,,,,lsu-ag-agexp:1002-180
lsu-ag-agexp:1013,,,,,,,,,,,lsu-ag-agexp:1002-138,,,,,,,,,,,,,,lsu-ag-agexp:1013,,,,,,,,lsu-ag-agexp:1002-138
lsu-ag-agexp:1014,,,,,,,,,,,lsu-ag-agexp:1002-147,,,,,,,,,,,,,,lsu-ag-agexp:1014,,,,,,,,lsu-ag-agexp:1002-147
lsu-ag-agexp:1015,,,,,,,,,,,lsu-ag-agexp:1002-259,,,,,,,,,,,,,,lsu-ag-agexp:1015,,,,,,,,lsu-ag-agexp:1002-259
lsu-ag-agexp:1016,,,,,,,,,,,lsu-ag-agexp:1002-213,,,,,,,,,,,,,,lsu-ag-agexp:1016,,,,,,,,lsu-ag-agexp:1002-213
lsu-ag-agexp:1017,,,,,,,,,,,lsu-ag-agexp:1002-43,,,,,,,,,,,,,,lsu-ag-agexp:1017,,,,,,,,lsu-ag-agexp:1002-43
lsu-ag-agexp:1018,,,,,,,,,,,lsu-ag-agexp:1002-189,,,,,,,,,,,,,,lsu-ag-agexp:1018,,,,,,,,lsu-ag-agexp:1002-189
lsu-ag-agexp:1019,,,,,,,,,,,lsu-ag-agexp:1002-70,,,,,,,,,,,,,,lsu-ag-agexp:1019,,,,,,,,lsu-ag-agexp:1002-70
lsu-ag-agexp:101,,,,,,,,,,,lsu-ag-agexp:42-80,,,,,,,,,,,,,,lsu-ag-agexp:101,,,,,,,,lsu-ag-agexp:42-80
lsu-ag-agexp:1020,,,,,,,,,,,lsu-ag-agexp:1002-241,,,,,,,,,,,,,,lsu-ag-agexp:1020,,,,,,,,lsu-ag-agexp:1002-241
lsu-ag-agexp:1021,,,,,,,,,,,lsu-ag-agexp:1002-142,,,,,,,,,,,,,,lsu-ag-agexp:1021,,,,,,,,lsu-ag-agexp:1002-142
lsu-ag-agexp:1022,,,,,,,,,,,lsu-ag-agexp:1002-192,,,,,,,,,,,,,,lsu-ag-agexp:1022,,,,,,,,lsu-ag-agexp:1002-192
lsu-ag-agexp:1023,,,,,,,,,,,lsu-ag-agexp:1002-228,,,,,,,,,,,,,,lsu-ag-agexp:1023,,,,,,,,lsu-ag-agexp:1002-228
lsu-ag-agexp:1024,,,,,,,,,,,lsu-ag-agexp:1002-73,,,,,,,,,,,,,,lsu-ag-agexp:1024,,,,,,,,lsu-ag-agexp:1002-73
lsu-ag-agexp:1025,,,,,,,,,,,lsu-ag-agexp:1002-116,,,,,,,,,,,,,,lsu-ag-agexp:1025,,,,,,,,lsu-ag-agexp:1002-116
lsu-ag-agexp:1026,,,,,,,,,,,lsu-ag-agexp:1002-95,,,,,,,,,,,,,,lsu-ag-agexp:1026,,,,,,,,lsu-ag-agexp:1002-95
lsu-ag-agexp:1027,,,,,,,,,,,lsu-ag-agexp:1002-109,,,,,,,,,,,,,,lsu-ag-agexp:1027,,,,,,,,lsu-ag-agexp:1002-109
lsu-ag-agexp:1028,,,,,,,,,,,lsu-ag-agexp:1002-256,,,,,,,,,,,,,,lsu-ag-agexp:1028,,,,,,,,lsu-ag-agexp:1002-256
lsu-ag-agexp:1029,,,,,,,,,,,lsu-ag-agexp:1002-12,,,,,,,,,,,,,,lsu-ag-agexp:1029,,,,,,,,lsu-ag-agexp:1002-12
lsu-ag-agexp:102,,,,,,,,,,,lsu-ag-agexp:42-18,,,,,,,,,,,,,,lsu-ag-agexp:102,,,,,,,,lsu-ag-agexp:42-18
lsu-ag-agexp:1030,,,,,,,,,,,lsu-ag-agexp:1002-202,,,,,,,,,,,,,,lsu-ag-agexp:1030,,,,,,,,lsu-ag-agexp:1002-202
lsu-ag-agexp:1031,,,,,,,,,,,lsu-ag-agexp:1002-112,,,,,,,,,,,,,,lsu-ag-agexp:1031,,,,,,,,lsu-ag-agexp:1002-112
lsu-ag-agexp:1032,,,,,,,,,,,lsu-ag-agexp:1002-150,,,,,,,,,,,,,,lsu-ag-agexp:1032,,,,,,,,lsu-ag-agexp:1002-150
lsu-ag-agexp:1033,,,,,,,,,,,lsu-ag-agexp:1002-136,,,,,,,,,,,,,,lsu-ag-agexp:1033,,,,,,,,lsu-ag-agexp:1002-136
lsu-ag-agexp:1034,,,,,,,,,,,lsu-ag-agexp:1002-190,,,,,,,,,,,,,,lsu-ag-agexp:1034,,,,,,,,lsu-ag-agexp:1002-190
lsu-ag-agexp:1035,,,,,,,,,,,lsu-ag-agexp:1002-196,,,,,,,,,,,,,,lsu-ag-agexp:1035,,,,,,,,lsu-ag-agexp:1002-196
lsu-ag-agexp:1036,,,,,,,,,,,lsu-ag-agexp:1002-78,,,,,,,,,,,,,,lsu-ag-agexp:1036,,,,,,,,lsu-ag-agexp:1002-78
lsu-ag-agexp:1037,,,,,,,,,,,lsu-ag-agexp:1002-249,,,,,,,,,,,,,,lsu-ag-agexp:1037,,,,,,,,lsu-ag-agexp:1002-249
lsu-ag-agexp:1038,,,,,,,,,,,lsu-ag-agexp:1002-255,,,,,,,,,,,,,,lsu-ag-agexp:1038,,,,,,,,lsu-ag-agexp:1002-255
lsu-ag-agexp:1039,,,,,,,,,,,lsu-ag-agexp:1002-139,,,,,,,,,,,,,,lsu-ag-agexp:1039,,,,,,,,lsu-ag-agexp:1002-139
lsu-ag-agexp:103,,,,,,,,,,,lsu-ag-agexp:42-42,,,,,,,,,,,,,,lsu-ag-agexp:103,,,,,,,,lsu-ag-agexp:42-42
lsu-ag-agexp:1040,,,,,,,,,,,lsu-ag-agexp:1002-64,,,,,,,,,,,,,,lsu-ag-agexp:1040,,,,,,,,lsu-ag-agexp:1002-64
lsu-ag-agexp:1041,,,,,,,,,,,lsu-ag-agexp:1002-25,,,,,,,,,,,,,,lsu-ag-agexp:1041,,,,,,,,lsu-ag-agexp:1002-25
lsu-ag-agexp:1042,,,,,,,,,,,lsu-ag-agexp:1002-54,,,,,,,,,,,,,,lsu-ag-agexp:1042,,,,,,,,lsu-ag-agexp:1002-54
lsu-ag-agexp:1043,,,,,,,,,,,lsu-ag-agexp:1002-19,,,,,,,,,,,,,,lsu-ag-agexp:1043,,,,,,,,lsu-ag-agexp:1002-19
lsu-ag-agexp:1044,,,,,,,,,,,lsu-ag-agexp:1002-238,,,,,,,,,,,,,,lsu-ag-agexp:1044,,,,,,,,lsu-ag-agexp:1002-238
lsu-ag-agexp:1045,,,,,,,,,,,lsu-ag-agexp:1002-206,,,,,,,,,,,,,,lsu-ag-agexp:1045,,,,,,,,lsu-ag-agexp:1002-206
lsu-ag-agexp:1046,,,,,,,,,,,lsu-ag-agexp:1002-266,,,,,,,,,,,,,,lsu-ag-agexp:1046,,,,,,,,lsu-ag-agexp:1002-266
lsu-ag-agexp:1047,,,,,,,,,,,lsu-ag-agexp:1002-207,,,,,,,,,,,,,,lsu-ag-agexp:1047,,,,,,,,lsu-ag-agexp:1002-207
lsu-ag-agexp:1048,,,,,,,,,,,lsu-ag-agexp:1002-143,,,,,,,,,,,,,,lsu-ag-agexp:1048,,,,,,,,lsu-ag-agexp:1002-143
lsu-ag-agexp:1049,,,,,,,,,,,lsu-ag-agexp:1002-187,,,,,,,,,,,,,,lsu-ag-agexp:1049,,,,,,,,lsu-ag-agexp:1002-187
lsu-ag-agexp:104,,,,,,,,,,,lsu-ag-agexp:42-26,,,,,,,,,,,,,,lsu-ag-agexp:104,,,,,,,,lsu-ag-agexp:42-26
lsu-ag-agexp:1050,,,,,,,,,,,lsu-ag-agexp:1002-221,,,,,,,,,,,,,,lsu-ag-agexp:1050,,,,,,,,lsu-ag-agexp:1002-221
lsu-ag-agexp:1051,,,,,,,,,,,lsu-ag-agexp:1002-27,,,,,,,,,,,,,,lsu-ag-agexp:1051,,,,,,,,lsu-ag-agexp:1002-27
