id,dateCaptured,field_contact_info,field_digital_origin,field_digital_reproduction_info,field_extent,field_form,"field_form, field_form_URI",field_form_URI,field_genre,field_identifier,field_institution_web_site,field_language_of_cataloging,field_linked_agent,field_note,field_oclc_symbol,field_physical_description_note,field_physical_location,"field_physical_location, field_institution_website",field_place_of_origin,field_preferred_citation,field_record,field_record_content_source,field_date,field_record_origin,field_relation,field_repository_collection_guide,field_rights_information,field_rights_statement,field_shelf_location,field_subject_geographic,field_subject_topic,field_sublocation,nan,file,parent_id,field_weight,field_member_of,field_model,field_access_terms,field_resource_type,field_edtf_date_created
lsu-moa-cwd:collection,,,,,,,,,,lsu-moa-cwd:collection,,,,,,,,,,,,,,,,,,,,,,,,,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:101,,E-mail artmuseum@lsu.edu with questions or comments,,,9-5/8 x 7-7/8 in.,,,,,68.9.75,,,,,,Color electron,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Abstract Paintings,,,Data/lsu-moa-cwd_101_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:102,,E-mail artmuseum@lsu.edu with questions or comments,,,10 x 15-15/16 in.,,,,,74.12.9,,,,,,Color electron,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of ArtCopyright is retained in accordance with UScopyright laws.,,,,Aged persons|Earrings|Women|Hats,,,Data/lsu-moa-cwd_102_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:103,,E-mail artmuseum@lsu.edu with questions or comments,,,18 x 13-1/2 in.,,,,,68.9.79,,,,,,Color lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of ArtCopyright is retained in accordance with UScopyright laws.,,,,Women,,,Data/lsu-moa-cwd_103_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:104,,E-mail artmuseum@lsu.edu with questions or comments,,,19 x 16 in.,,,,,94.19,,,,,,Colored electron print,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-10,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Girls,,,Data/lsu-moa-cwd_104_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:105,,E-mail artmuseum@lsu.edu with questions or comments,,,16-1/2 x 10-3/8 in.,,,,,68.9.81,,,,,,Color Lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Night|Cemeteries|Crosses|Skeletons|Abstract paintings,,,Data/lsu-moa-cwd_105_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:106,,E-mail artmuseum@lsu.edu with questions or comments,,,13 x 19 in.,,,,,68.9.101,,,,,,Color lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Abstract paintings|Invasions,,,Data/lsu-moa-cwd_106_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:107,,E-mail artmuseum@lsu.edu with questions or comments,,,19-1/4 x 15 in.,,,,,87.31.2,,,,,,Color electron,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Abstract paintings,,,Data/lsu-moa-cwd_107_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:108,,E-mail artmuseum@lsu.edu with questions or comments,,,13-1/4 x 14 in.,,,,,77.22.11,,,,,,Black electron,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Women|Public speaking,,,Data/lsu-moa-cwd_108_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
lsu-moa-cwd:109,,E-mail artmuseum@lsu.edu with questions or comments,,,15 x 12 in.,,,,,74.1.11,,,,,,BLACK AND WHITE ELECTRON,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/2018,,2003-11-24,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Hands|Skeletons|Windows,,,Data/lsu-moa-cwd_109_OBJ.png,lsu-moa-cwd:collection,,,32,14,4,
