id,field_abstract,field_alt_title,field_classification,field_copyright_date,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,file,parent_id,field_weight,field_member_of,field_model
lsu-ag-agexp:1000,,,,,,,,,,lsu-ag-agexp:914-44,,,,,,,,,,,,lsu-ag-agexp:1000,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:914-44,,,,,Language
lsu-ag-agexp:1001,,,,,,,,,,lsu-ag-agexp:914-81,,,,,,,,,,,,lsu-ag-agexp:1001,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:914-81,,,,,Language
lsu-ag-agexp:1002,,,,,,,,1990.0,,"Sugarcane Research Annual Progress Report, 1990",,,,,,"relators:aut:person:|relators:ctb:corporate_body:|relators:pbl:corporate_body:Louisiana Agricultural Experiment Station, Louisiana State University Agriculturual Center",,,host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,,,lsu-ag-agexp:1002,,,"some test Value, Should not be empty",use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Sugarcane -- Louisiana,,,"Sugarcane Research Annual Progress Report, 1990",,,,,Language
lsu-ag-agexp:1003,,,,,,,,,,lsu-ag-agexp:1002-50,,,,,,,,,,,,lsu-ag-agexp:1003,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-50,,,,,Language
lsu-ag-agexp:1004,,,,,,,,,,lsu-ag-agexp:1002-29,,,,,,,,,,,,lsu-ag-agexp:1004,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-29,,,,,Language
lsu-ag-agexp:1005,,,,,,,,,,lsu-ag-agexp:1002-33,,,,,,,,,,,,lsu-ag-agexp:1005,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-33,,,,,Language
lsu-ag-agexp:1006,,,,,,,,,,lsu-ag-agexp:1002-32,,,,,,,,,,,,lsu-ag-agexp:1006,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-32,,,,,Language
lsu-ag-agexp:1007,,,,,,,,,,lsu-ag-agexp:1002-247,,,,,,,,,,,,lsu-ag-agexp:1007,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-247,,,,,Language
lsu-ag-agexp:1008,,,,,,,,,,lsu-ag-agexp:1002-161,,,,,,,,,,,,lsu-ag-agexp:1008,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-161,,,,,Language
lsu-ag-agexp:1009,,,,,,,,,,lsu-ag-agexp:1002-124,,,,,,,,,,,,lsu-ag-agexp:1009,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-124,,,,,Language
lsu-ag-agexp:100,,,,,,,,,,lsu-ag-agexp:42-51,,,,,,,,,,,,lsu-ag-agexp:100,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:42-51,,,,,Language
lsu-ag-agexp:1010,,,,,,,,,,lsu-ag-agexp:1002-265,,,,,,,,,,,,lsu-ag-agexp:1010,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-265,,,,,Language
lsu-ag-agexp:1011,,,,,,,,,,lsu-ag-agexp:1002-101,,,,,,,,,,,,lsu-ag-agexp:1011,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-101,,,,,Language
lsu-ag-agexp:1012,,,,,,,,,,lsu-ag-agexp:1002-180,,,,,,,,,,,,lsu-ag-agexp:1012,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-180,,,,,Language
lsu-ag-agexp:1013,,,,,,,,,,lsu-ag-agexp:1002-138,,,,,,,,,,,,lsu-ag-agexp:1013,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-138,,,,,Language
lsu-ag-agexp:1014,,,,,,,,,,lsu-ag-agexp:1002-147,,,,,,,,,,,,lsu-ag-agexp:1014,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-147,,,,,Language
lsu-ag-agexp:1015,,,,,,,,,,lsu-ag-agexp:1002-259,,,,,,,,,,,,lsu-ag-agexp:1015,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-259,,,,,Language
lsu-ag-agexp:1016,,,,,,,,,,lsu-ag-agexp:1002-213,,,,,,,,,,,,lsu-ag-agexp:1016,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-213,,,,,Language
lsu-ag-agexp:1017,,,,,,,,,,lsu-ag-agexp:1002-43,,,,,,,,,,,,lsu-ag-agexp:1017,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-43,,,,,Language
lsu-ag-agexp:1018,,,,,,,,,,lsu-ag-agexp:1002-189,,,,,,,,,,,,lsu-ag-agexp:1018,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-189,,,,,Language
lsu-ag-agexp:1019,,,,,,,,,,lsu-ag-agexp:1002-70,,,,,,,,,,,,lsu-ag-agexp:1019,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-70,,,,,Language
lsu-ag-agexp:101,,,,,,,,,,lsu-ag-agexp:42-80,,,,,,,,,,,,lsu-ag-agexp:101,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:42-80,,,,,Language
lsu-ag-agexp:1020,,,,,,,,,,lsu-ag-agexp:1002-241,,,,,,,,,,,,lsu-ag-agexp:1020,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-241,,,,,Language
lsu-ag-agexp:1021,,,,,,,,,,lsu-ag-agexp:1002-142,,,,,,,,,,,,lsu-ag-agexp:1021,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-142,,,,,Language
lsu-ag-agexp:1022,,,,,,,,,,lsu-ag-agexp:1002-192,,,,,,,,,,,,lsu-ag-agexp:1022,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-192,,,,,Language
lsu-ag-agexp:1023,,,,,,,,,,lsu-ag-agexp:1002-228,,,,,,,,,,,,lsu-ag-agexp:1023,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-228,,,,,Language
lsu-ag-agexp:1024,,,,,,,,,,lsu-ag-agexp:1002-73,,,,,,,,,,,,lsu-ag-agexp:1024,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-73,,,,,Language
lsu-ag-agexp:1025,,,,,,,,,,lsu-ag-agexp:1002-116,,,,,,,,,,,,lsu-ag-agexp:1025,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-116,,,,,Language
lsu-ag-agexp:1026,,,,,,,,,,lsu-ag-agexp:1002-95,,,,,,,,,,,,lsu-ag-agexp:1026,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-95,,,,,Language
lsu-ag-agexp:1027,,,,,,,,,,lsu-ag-agexp:1002-109,,,,,,,,,,,,lsu-ag-agexp:1027,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-109,,,,,Language
lsu-ag-agexp:1028,,,,,,,,,,lsu-ag-agexp:1002-256,,,,,,,,,,,,lsu-ag-agexp:1028,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-256,,,,,Language
lsu-ag-agexp:1029,,,,,,,,,,lsu-ag-agexp:1002-12,,,,,,,,,,,,lsu-ag-agexp:1029,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-12,,,,,Language
lsu-ag-agexp:102,,,,,,,,,,lsu-ag-agexp:42-18,,,,,,,,,,,,lsu-ag-agexp:102,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:42-18,,,,,Language
lsu-ag-agexp:1030,,,,,,,,,,lsu-ag-agexp:1002-202,,,,,,,,,,,,lsu-ag-agexp:1030,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-202,,,,,Language
lsu-ag-agexp:1031,,,,,,,,,,lsu-ag-agexp:1002-112,,,,,,,,,,,,lsu-ag-agexp:1031,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-112,,,,,Language
lsu-ag-agexp:1032,,,,,,,,,,lsu-ag-agexp:1002-150,,,,,,,,,,,,lsu-ag-agexp:1032,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-150,,,,,Language
lsu-ag-agexp:1033,,,,,,,,,,lsu-ag-agexp:1002-136,,,,,,,,,,,,lsu-ag-agexp:1033,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-136,,,,,Language
lsu-ag-agexp:1034,,,,,,,,,,lsu-ag-agexp:1002-190,,,,,,,,,,,,lsu-ag-agexp:1034,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-190,,,,,Language
lsu-ag-agexp:1035,,,,,,,,,,lsu-ag-agexp:1002-196,,,,,,,,,,,,lsu-ag-agexp:1035,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-196,,,,,Language
lsu-ag-agexp:1036,,,,,,,,,,lsu-ag-agexp:1002-78,,,,,,,,,,,,lsu-ag-agexp:1036,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:1002-78,,,,,Language
